Time [s],Packet ID,MOSI,MISO
0.199571541666667,0,0xCA,0x00
0.199590333333333,,0x81,0x00
0.200613708333333,,0xCA,0x00
0.2006325,,0x83,0x00
0.201653166666667,,0x80,0x00
0.201671958333333,,0x38,0x00
0.202692958333333,,0xA7,0x00
0.20271175,,0xD0,0x00
0.203732416666667,,0x82,0x00
0.203751208333333,,0x00,0x00
0.204771916666667,,0x94,0x00
0.204790666666667,,0xA1,0x00
0.205811375,,0x98,0x00
0.205830125,,0x30,0x00
0.206850833333333,,0x82,0x00
0.206869625,,0x20,0x00
0.207893,,0x82,0x00
0.20791175,,0x80,0x00
0.20893275,,0x80,0x00
0.208951541666667,,0x78,0x00
0.209969666666667,,0xCA,0x00
0.209988458333333,,0x81,0x00
0.211009166666667,,0xCA,0x00
0.211027916666667,,0x83,0x00
0.212051666666667,,0x00,0x00
0.212070458333333,,0x00,0x00
0.213090916666667,,0x00,0x00
0.213099458333333,,0x00,0x00
1.11107645833333,,0xCA,0x00
1.11109525,,0x81,0x00
1.11211325,,0xCA,0x00
1.11213204166667,,0x83,0x00
1.11315275,,0x80,0x00
1.1131715,,0x38,0x00
1.1141925,,0xA7,0x00
1.11421129166667,,0xD0,0x00
1.11523195833333,,0x82,0x00
1.11525075,,0x00,0x00
1.11627791666667,,0x94,0x00
1.11629670833333,,0xA1,0x00
1.11731741666667,,0x98,0x00
1.11733616666667,,0x30,0x00
1.118356875,,0x82,0x00
1.118375625,,0x20,0x00
1.11939904166667,,0x82,0x00
1.11941779166667,,0x80,0x00
1.12043879166667,,0x80,0x00
1.12045758333333,,0x78,0x00
1.12147558333333,,0xCA,0x00
1.121494375,,0x81,0x00
1.12251504166667,,0xCA,0x00
1.12253383333333,,0x83,0x00
1.12355516666667,,0x00,0x00
1.12357391666667,,0x00,0x00
1.124594375,,0x00,0x00
1.12460291666667,,0x00,0x00
2.02258258333333,,0xCA,0x00
2.02260133333333,,0x81,0x00
2.02361933333333,,0xCA,0x00
2.023638125,,0x83,0x00
2.02465883333333,,0x80,0x00
2.02467758333333,,0x38,0x00
2.02569858333333,,0xA7,0x00
2.025717375,,0xD0,0x00
2.02673808333333,,0x82,0x00
2.02675683333333,,0x00,0x00
2.02778020833333,,0x94,0x00
2.027799,,0xA1,0x00
2.02881970833333,,0x98,0x00
2.02883845833333,,0x30,0x00
2.02985916666667,,0x82,0x00
2.02987791666667,,0x20,0x00
2.030898625,,0x82,0x00
2.03091741666667,,0x80,0x00
2.03193841666667,,0x80,0x00
2.03195716666667,,0x78,0x00
2.032978,,0xCA,0x00
2.03299679166667,,0x81,0x00
2.03401745833333,,0xCA,0x00
2.03403625,,0x83,0x00
2.03505733333333,,0x00,0x00
2.03507608333333,,0x00,0x00
2.03609620833333,,0x00,0x00
2.03610475,,0x00,0x00
